GEOG,TOT_POP
Albany Park,51992
Archer Heights,13142
Armour Square,13455
Ashburn,43792
Auburn Gresham,46278
Austin,95260
Avalon Park,9985
Avondale,37368
Belmont Cragin,79910
Beverly,20822
Bridgeport,33637
Brighton Park,44813
Burnside,2254
Calumet Heights,13188
Chatham,31120
Chicago Lawn,53098
Clearing,25891
Douglas,20781
Dunning,43689
East Garfield Park,19996
East Side,23737
Edgewater,55965
Edison Park,11605
Englewood,25075
Forest Glen,19019
Fuller Park,2439
Gage Park,40873
Garfield Ridge,36396
Grand Boulevard,22313
Greater Grand Crossing,31766
Hegewisch,9418
Hermosa,24144
Humboldt Park,56427
Hyde Park,26827
Irving Park,54606
Jefferson Park,26808
Kenwood,17189
Lake View,100470
Lincoln Park,67710
Lincoln Square,41715
Logan Square,73046
Lower West Side,32888
McKinley Park,15767
Montclare,13830
Morgan Park,22394
Mount Greenwood,19277
Near North Side,88893
Near South Side,23620
Near West Side,62872
New City,39561
North Center,35789
North Lawndale,35947
North Park,18842
Norwood Park,37089
Oakland,6645
O'Hare,12377
Portage Park,64307
Pullman,6613
Riverdale,7394
Rogers Park,55062
Roseland,42433
South Chicago,28263
South Deering,14614
South Lawndale,74851
South Shore,50418
The Loop,35880
Uptown,57973
Washington Heights,27453
Washington Park,11502
West Elsdon,19237
West Englewood,29929
West Garfield Park,17163
West Lawn,33108
West Pullman,27742
West Ridge,76215
West Town,84502
Woodlawn,23268